survived,pclass,sex,age,sibsp,fare,class,who,adult_male,deck,embark_town,alive,alone
1,3,female,,0,7.8792,Third,woman,FALSE,,Queenstown,yes,TRUE
0,3,male,,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,40,0,27.7208,First,man,TRUE,,Cherbourg,no,TRUE
1,1,female,,1,146.5208,First,woman,FALSE,B,Cherbourg,yes,FALSE
1,3,female,,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
0,2,male,66,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
0,1,male,28,1,82.1708,First,man,TRUE,,Cherbourg,no,FALSE
0,1,male,42,1,52,First,man,TRUE,,Southampton,no,FALSE
1,3,male,,0,7.2292,Third,man,TRUE,,Cherbourg,yes,TRUE
0,3,male,21,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,18,2,18,Third,woman,FALSE,,Southampton,no,FALSE
1,3,female,14,1,11.2417,Third,child,FALSE,,Cherbourg,yes,FALSE
0,3,female,40,1,9.475,Third,woman,FALSE,,Southampton,no,FALSE
0,2,female,27,1,21,Second,woman,FALSE,,Southampton,no,FALSE
0,3,male,,0,7.8958,Third,man,TRUE,,Cherbourg,no,TRUE
1,2,female,3,1,41.5792,Second,child,FALSE,,Cherbourg,yes,FALSE
1,3,female,19,0,7.8792,Third,woman,FALSE,,Queenstown,yes,TRUE
0,3,male,,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,1,15.5,Third,man,TRUE,,Queenstown,no,FALSE
1,3,female,,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
0,3,male,,2,21.6792,Third,man,TRUE,,Cherbourg,no,FALSE
0,3,female,18,1,17.8,Third,woman,FALSE,,Southampton,no,FALSE
0,3,male,7,4,39.6875,Third,child,FALSE,,Southampton,no,FALSE
0,3,male,21,0,7.8,Third,man,TRUE,,Southampton,no,TRUE
1,1,female,49,1,76.7292,First,woman,FALSE,D,Cherbourg,yes,FALSE
1,2,female,29,1,26,Second,woman,FALSE,,Southampton,yes,FALSE
0,1,male,65,0,61.9792,First,man,TRUE,B,Cherbourg,no,FALSE
1,1,male,,0,35.5,First,man,TRUE,C,Southampton,yes,TRUE
1,2,female,21,0,10.5,Second,woman,FALSE,,Southampton,yes,TRUE
0,3,male,28.5,0,7.2292,Third,man,TRUE,,Cherbourg,no,TRUE
1,2,female,5,1,27.75,Second,child,FALSE,,Southampton,yes,FALSE
0,3,male,11,5,46.9,Third,child,FALSE,,Southampton,no,FALSE
0,3,male,22,0,7.2292,Third,man,TRUE,,Cherbourg,no,TRUE
1,1,female,38,0,80,First,woman,FALSE,B,,yes,TRUE
0,1,male,45,1,83.475,First,man,TRUE,C,Southampton,no,FALSE
0,3,male,4,3,27.9,Third,child,FALSE,,Southampton,no,FALSE
0,1,male,,0,27.7208,First,man,TRUE,,Cherbourg,no,TRUE
1,3,male,,1,15.2458,Third,man,TRUE,,Cherbourg,yes,FALSE
1,2,female,29,0,10.5,Second,woman,FALSE,F,Southampton,yes,TRUE
0,3,male,19,0,8.1583,Third,man,TRUE,,Southampton,no,TRUE
1,3,female,17,4,7.925,Third,woman,FALSE,,Southampton,yes,FALSE
0,3,male,26,2,8.6625,Third,man,TRUE,,Southampton,no,FALSE
0,2,male,32,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
0,3,female,16,5,46.9,Third,woman,FALSE,,Southampton,no,FALSE
0,2,male,21,0,73.5,Second,man,TRUE,,Southampton,no,TRUE
0,3,male,26,1,14.4542,Third,man,TRUE,,Cherbourg,no,FALSE
1,3,male,32,0,56.4958,Third,man,TRUE,,Southampton,yes,TRUE
0,3,male,25,0,7.65,Third,man,TRUE,F,Southampton,no,TRUE
0,3,male,,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
1,2,male,0.83,0,29,Second,child,FALSE,,Southampton,yes,FALSE
1,3,female,30,0,12.475,Third,woman,FALSE,,Southampton,yes,TRUE
0,3,male,22,0,9,Third,man,TRUE,,Southampton,no,TRUE
1,3,male,29,0,9.5,Third,man,TRUE,,Southampton,yes,TRUE
1,3,female,,0,7.7875,Third,woman,FALSE,,Queenstown,yes,TRUE
0,1,male,28,0,47.1,First,man,TRUE,,Southampton,no,TRUE
1,2,female,17,0,10.5,Second,woman,FALSE,,Southampton,yes,TRUE
1,3,female,33,3,15.85,Third,woman,FALSE,,Southampton,yes,FALSE
0,3,male,16,1,34.375,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
1,1,female,23,3,263,First,woman,FALSE,C,Southampton,yes,FALSE
0,3,male,24,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,29,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,20,0,7.8542,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,46,1,61.175,First,man,TRUE,E,Southampton,no,FALSE
0,3,male,26,1,20.575,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,59,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,71,0,34.6542,First,man,TRUE,A,Cherbourg,no,TRUE
1,1,male,23,0,63.3583,First,man,TRUE,D,Cherbourg,yes,FALSE
1,2,female,34,0,23,Second,woman,FALSE,,Southampton,yes,FALSE
0,2,male,34,1,26,Second,man,TRUE,,Southampton,no,FALSE
0,3,female,28,0,7.8958,Third,woman,FALSE,,Southampton,no,TRUE
0,3,male,,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,21,0,77.2875,First,man,TRUE,D,Southampton,no,FALSE
0,3,male,33,0,8.6542,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,37,2,7.925,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,28,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
1,3,female,21,0,7.65,Third,woman,FALSE,,Southampton,yes,TRUE
1,3,male,,0,7.775,Third,man,TRUE,,Southampton,yes,TRUE
0,3,male,38,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
1,3,female,,1,24.15,Third,woman,FALSE,,Queenstown,yes,FALSE
0,1,male,47,0,52,First,man,TRUE,C,Southampton,no,TRUE
0,3,female,14.5,1,14.4542,Third,child,FALSE,,Cherbourg,no,FALSE
0,3,male,22,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,20,1,9.825,Third,woman,FALSE,,Southampton,no,FALSE
0,3,female,17,0,14.4583,Third,woman,FALSE,,Cherbourg,no,TRUE
0,3,male,21,0,7.925,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,70.5,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
0,2,male,29,1,21,Second,man,TRUE,,Southampton,no,FALSE
0,1,male,24,0,247.5208,First,man,TRUE,B,Cherbourg,no,FALSE
0,3,female,2,4,31.275,Third,child,FALSE,,Southampton,no,FALSE
0,2,male,21,2,73.5,Second,man,TRUE,,Southampton,no,FALSE
0,3,male,,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,2,male,32.5,1,30.0708,Second,man,TRUE,,Cherbourg,no,FALSE
1,2,female,32.5,0,13,Second,woman,FALSE,E,Southampton,yes,TRUE
0,1,male,54,0,77.2875,First,man,TRUE,D,Southampton,no,FALSE
1,3,male,12,1,11.2417,Third,child,FALSE,,Cherbourg,yes,FALSE
0,3,male,,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
1,3,male,24,0,7.1417,Third,man,TRUE,,Southampton,yes,TRUE
1,3,female,,1,22.3583,Third,woman,FALSE,F,Cherbourg,yes,FALSE
0,3,male,45,0,6.975,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,33,0,7.8958,Third,man,TRUE,,Cherbourg,no,TRUE
0,3,male,20,0,7.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,47,1,14.5,Third,woman,FALSE,,Southampton,no,FALSE
1,2,female,29,1,26,Second,woman,FALSE,,Southampton,yes,FALSE
0,2,male,25,0,13,Second,man,TRUE,,Southampton,no,TRUE
0,2,male,23,0,15.0458,Second,man,TRUE,,Cherbourg,no,TRUE
1,1,female,19,0,26.2833,First,woman,FALSE,D,Southampton,yes,FALSE
0,1,male,37,1,53.1,First,man,TRUE,C,Southampton,no,FALSE
0,3,male,16,0,9.2167,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,24,0,79.2,First,man,TRUE,B,Cherbourg,no,TRUE
0,3,female,,0,15.2458,Third,woman,FALSE,,Cherbourg,no,FALSE
1,3,female,22,0,7.75,Third,woman,FALSE,,Southampton,yes,TRUE
1,3,female,24,1,15.85,Third,woman,FALSE,,Southampton,yes,FALSE
0,3,male,19,0,6.75,Third,man,TRUE,,Queenstown,no,TRUE
0,2,male,18,0,11.5,Second,man,TRUE,,Southampton,no,TRUE
0,2,male,19,1,36.75,Second,man,TRUE,,Southampton,no,FALSE
1,3,male,27,0,7.7958,Third,man,TRUE,,Southampton,yes,TRUE
0,3,female,9,2,34.375,Third,child,FALSE,,Southampton,no,FALSE
0,2,male,36.5,0,26,Second,man,TRUE,F,Southampton,no,FALSE
0,2,male,42,0,13,Second,man,TRUE,,Southampton,no,TRUE
0,2,male,51,0,12.525,Second,man,TRUE,,Southampton,no,TRUE
1,1,female,22,1,66.6,First,woman,FALSE,C,Southampton,yes,FALSE
0,3,male,55.5,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,40.5,0,14.5,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,,0,7.3125,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,51,0,61.3792,First,man,TRUE,,Cherbourg,no,FALSE
1,3,female,16,0,7.7333,Third,woman,FALSE,,Queenstown,yes,TRUE
0,3,male,30,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,8.6625,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,8,69.55,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,44,0,16.1,Third,man,TRUE,,Southampton,no,FALSE
1,2,female,40,0,15.75,Second,woman,FALSE,,Southampton,yes,TRUE
0,3,male,26,0,7.775,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,17,0,8.6625,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,1,4,39.6875,Third,child,FALSE,,Southampton,no,FALSE
1,3,male,9,0,20.525,Third,child,FALSE,,Southampton,yes,FALSE
1,1,female,,0,55,First,woman,FALSE,E,Southampton,yes,FALSE
0,3,female,45,1,27.9,Third,woman,FALSE,,Southampton,no,FALSE
0,1,male,,0,25.925,First,man,TRUE,,Southampton,no,TRUE
0,3,male,28,0,56.4958,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,61,0,33.5,First,man,TRUE,B,Southampton,no,TRUE
0,3,male,4,4,29.125,Third,child,FALSE,,Queenstown,no,FALSE
1,3,female,1,1,11.1333,Third,child,FALSE,,Southampton,yes,FALSE
0,3,male,21,0,7.925,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,56,0,30.6958,First,man,TRUE,A,Cherbourg,no,TRUE
0,3,male,18,1,7.8542,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,,3,25.4667,Third,man,TRUE,,Southampton,no,FALSE
0,1,female,50,0,28.7125,First,woman,FALSE,C,Cherbourg,no,TRUE
0,2,male,30,0,13,Second,man,TRUE,,Southampton,no,TRUE
0,3,male,36,0,0,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,,8,69.55,Third,woman,FALSE,,Southampton,no,FALSE
0,2,male,,0,15.05,Second,man,TRUE,,Cherbourg,no,TRUE
0,3,male,9,4,31.3875,Third,child,FALSE,,Southampton,no,FALSE
1,2,male,1,2,39,Second,child,FALSE,F,Southampton,yes,FALSE
1,3,female,4,0,22.025,Third,child,FALSE,,Southampton,yes,FALSE
0,1,male,,0,50,First,man,TRUE,A,Southampton,no,TRUE
1,3,female,,1,15.5,Third,woman,FALSE,,Queenstown,yes,FALSE
1,1,male,45,0,26.55,First,man,TRUE,,Southampton,yes,TRUE
0,3,male,40,1,15.5,Third,man,TRUE,,Queenstown,no,FALSE
0,3,male,36,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
1,2,female,32,0,13,Second,woman,FALSE,,Southampton,yes,TRUE
0,2,male,19,0,13,Second,man,TRUE,,Southampton,no,TRUE
1,3,female,19,1,7.8542,Third,woman,FALSE,,Southampton,yes,FALSE
1,2,male,3,1,26,Second,child,FALSE,F,Southampton,yes,FALSE
1,1,female,44,0,27.7208,First,woman,FALSE,B,Cherbourg,yes,TRUE
1,1,female,58,0,146.5208,First,woman,FALSE,B,Cherbourg,yes,TRUE
0,3,male,,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
0,3,male,42,0,8.4042,Third,man,TRUE,,Southampton,no,FALSE
1,3,female,,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
0,2,female,24,0,13,Second,woman,FALSE,,Southampton,no,TRUE
0,3,male,28,0,9.5,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,8,69.55,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,34,0,6.4958,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,45.5,0,7.225,Third,man,TRUE,,Cherbourg,no,TRUE
1,3,male,18,0,8.05,Third,man,TRUE,,Southampton,yes,TRUE
0,3,female,2,0,10.4625,Third,child,FALSE,G,Southampton,no,FALSE
0,3,male,32,1,15.85,Third,man,TRUE,,Southampton,no,FALSE
1,3,male,26,0,18.7875,Third,man,TRUE,,Cherbourg,yes,TRUE
1,3,female,16,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
1,1,male,40,0,31,First,man,TRUE,A,Cherbourg,yes,TRUE
0,3,male,24,0,7.05,Third,man,TRUE,,Southampton,no,TRUE
1,2,female,35,0,21,Second,woman,FALSE,,Southampton,yes,TRUE
0,3,male,22,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
0,2,male,30,0,13,Second,man,TRUE,,Southampton,no,TRUE
0,3,male,,1,7.75,Third,man,TRUE,,Queenstown,no,FALSE
1,1,female,31,1,113.275,First,woman,FALSE,D,Cherbourg,yes,FALSE
1,3,female,27,0,7.925,Third,woman,FALSE,,Southampton,yes,TRUE
0,2,male,42,1,27,Second,man,TRUE,,Southampton,no,FALSE
1,1,female,32,0,76.2917,First,woman,FALSE,D,Cherbourg,yes,TRUE
0,2,male,30,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
1,3,male,16,0,8.05,Third,man,TRUE,,Southampton,yes,TRUE
0,2,male,27,0,13,Second,man,TRUE,,Southampton,no,TRUE
0,3,male,51,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
1,1,male,38,1,90,First,man,TRUE,C,Southampton,yes,FALSE
0,3,male,22,0,9.35,Third,man,TRUE,,Southampton,no,TRUE
1,2,male,19,0,10.5,Second,man,TRUE,,Southampton,yes,TRUE
0,3,male,20.5,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
0,2,male,18,0,13,Second,man,TRUE,,Southampton,no,TRUE
0,3,female,,3,25.4667,Third,woman,FALSE,,Southampton,no,FALSE
1,1,female,35,1,83.475,First,woman,FALSE,C,Southampton,yes,FALSE
0,3,male,29,0,7.775,Third,man,TRUE,,Southampton,no,TRUE
0,2,male,59,0,13.5,Second,man,TRUE,,Southampton,no,TRUE
1,3,female,5,4,31.3875,Third,child,FALSE,,Southampton,yes,FALSE
0,2,male,24,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
0,3,female,,0,7.55,Third,woman,FALSE,,Southampton,no,TRUE
0,2,male,44,1,26,Second,man,TRUE,,Southampton,no,FALSE
1,2,female,8,0,26.25,Second,child,FALSE,,Southampton,yes,FALSE
0,2,male,19,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
0,2,male,33,0,12.275,Second,man,TRUE,,Southampton,no,TRUE
0,3,female,,1,14.4542,Third,woman,FALSE,,Cherbourg,no,FALSE
1,3,female,,1,15.5,Third,woman,FALSE,,Queenstown,yes,FALSE
0,2,male,29,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
0,3,male,22,0,7.125,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,30,0,7.225,Third,man,TRUE,,Cherbourg,no,TRUE
0,1,male,44,2,90,First,man,TRUE,C,Queenstown,no,FALSE
0,3,female,25,0,7.775,Third,woman,FALSE,,Southampton,no,TRUE
1,2,female,24,0,14.5,Second,woman,FALSE,,Southampton,yes,FALSE
1,1,male,37,1,52.5542,First,man,TRUE,D,Southampton,yes,FALSE
0,2,male,54,1,26,Second,man,TRUE,,Southampton,no,FALSE
0,3,male,,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,29,1,10.4625,Third,woman,FALSE,G,Southampton,no,FALSE
0,1,male,62,0,26.55,First,man,TRUE,C,Southampton,no,TRUE
0,3,male,30,1,16.1,Third,man,TRUE,,Southampton,no,FALSE
0,3,female,41,0,20.2125,Third,woman,FALSE,,Southampton,no,FALSE
1,3,female,29,0,15.2458,Third,woman,FALSE,,Cherbourg,yes,FALSE
1,1,female,,0,79.2,First,woman,FALSE,,Cherbourg,yes,TRUE
1,1,female,30,0,86.5,First,woman,FALSE,B,Southampton,yes,TRUE
1,1,female,35,0,512.3292,First,woman,FALSE,,Cherbourg,yes,TRUE
1,2,female,50,0,26,Second,woman,FALSE,,Southampton,yes,FALSE
0,3,male,,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
1,3,male,3,4,31.3875,Third,child,FALSE,,Southampton,yes,FALSE
0,1,male,52,1,79.65,First,man,TRUE,E,Southampton,no,FALSE
0,1,male,40,0,0,First,man,TRUE,B,Southampton,no,TRUE
0,3,female,,0,7.75,Third,woman,FALSE,,Queenstown,no,TRUE
0,2,male,36,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
0,3,male,16,4,39.6875,Third,man,TRUE,,Southampton,no,FALSE
1,3,male,25,1,7.775,Third,man,TRUE,,Southampton,yes,FALSE
1,1,female,58,0,153.4625,First,woman,FALSE,C,Southampton,yes,FALSE
1,1,female,35,0,135.6333,First,woman,FALSE,C,Southampton,yes,TRUE
0,1,male,,0,31,First,man,TRUE,,Southampton,no,TRUE
1,3,male,25,0,0,Third,man,TRUE,,Southampton,yes,TRUE
1,2,female,41,0,19.5,Second,woman,FALSE,,Southampton,yes,FALSE
0,1,male,37,0,29.7,First,man,TRUE,C,Cherbourg,no,FALSE
1,3,female,,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
1,1,female,63,1,77.9583,First,woman,FALSE,D,Southampton,yes,FALSE
0,3,female,45,0,7.75,Third,woman,FALSE,,Southampton,no,TRUE
0,2,male,,0,0,Second,man,TRUE,,Southampton,no,TRUE
0,3,male,7,4,29.125,Third,child,FALSE,,Queenstown,no,FALSE
1,3,female,35,1,20.25,Third,woman,FALSE,,Southampton,yes,FALSE
0,3,male,65,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
0,3,male,28,0,7.8542,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,16,0,9.5,Third,man,TRUE,,Southampton,no,TRUE
1,3,male,19,0,8.05,Third,man,TRUE,,Southampton,yes,TRUE
0,1,male,,0,26,First,man,TRUE,A,Southampton,no,TRUE
0,3,male,33,0,8.6625,Third,man,TRUE,,Cherbourg,no,TRUE
1,3,male,30,0,9.5,Third,man,TRUE,,Southampton,yes,TRUE
0,3,male,22,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
1,2,male,42,0,13,Second,man,TRUE,,Southampton,yes,TRUE
1,3,female,22,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
1,1,female,26,0,78.85,First,woman,FALSE,,Southampton,yes,TRUE
1,1,female,19,1,91.0792,First,woman,FALSE,B,Cherbourg,yes,FALSE
0,2,male,36,0,12.875,Second,man,TRUE,D,Cherbourg,no,TRUE
0,3,female,24,0,8.85,Third,woman,FALSE,,Southampton,no,TRUE
0,3,male,24,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,,0,27.7208,First,man,TRUE,,Cherbourg,no,TRUE
0,3,male,23.5,0,7.2292,Third,man,TRUE,,Cherbourg,no,TRUE
0,1,female,2,1,151.55,First,child,FALSE,C,Southampton,no,FALSE
1,1,male,,0,30.5,First,man,TRUE,C,Southampton,yes,TRUE
1,1,female,50,0,247.5208,First,woman,FALSE,B,Cherbourg,yes,FALSE
1,3,female,,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
1,3,male,,2,23.25,Third,man,TRUE,,Queenstown,yes,FALSE
0,3,male,19,0,0,Third,man,TRUE,,Southampton,no,TRUE
1,2,female,,0,12.35,Second,woman,FALSE,E,Queenstown,yes,TRUE
0,3,male,,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
1,1,male,0.92,1,151.55,First,child,FALSE,C,Southampton,yes,FALSE
1,1,female,,0,110.8833,First,woman,FALSE,,Cherbourg,yes,TRUE
1,1,female,17,1,108.9,First,woman,FALSE,C,Cherbourg,yes,FALSE
0,2,male,30,1,24,Second,man,TRUE,,Cherbourg,no,FALSE
1,1,female,30,0,56.9292,First,woman,FALSE,E,Cherbourg,yes,TRUE
1,1,female,24,0,83.1583,First,woman,FALSE,C,Cherbourg,yes,TRUE
1,1,female,18,2,262.375,First,woman,FALSE,B,Cherbourg,yes,FALSE
0,2,female,26,1,26,Second,woman,FALSE,,Southampton,no,FALSE
0,3,male,28,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,2,male,43,1,26.25,Second,man,TRUE,,Southampton,no,FALSE
1,3,female,26,0,7.8542,Third,woman,FALSE,,Southampton,yes,TRUE
1,2,female,24,1,26,Second,woman,FALSE,,Southampton,yes,FALSE
0,2,male,54,0,14,Second,man,TRUE,,Southampton,no,TRUE
1,1,female,31,0,164.8667,First,woman,FALSE,C,Southampton,yes,FALSE
1,1,female,40,1,134.5,First,woman,FALSE,E,Cherbourg,yes,FALSE
0,3,male,22,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,27,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
1,2,female,30,0,12.35,Second,woman,FALSE,,Queenstown,yes,TRUE
1,2,female,22,1,29,Second,woman,FALSE,,Southampton,yes,FALSE
0,3,male,,8,69.55,Third,man,TRUE,,Southampton,no,FALSE
1,1,female,36,0,135.6333,First,woman,FALSE,C,Cherbourg,yes,TRUE
0,3,male,61,0,6.2375,Third,man,TRUE,,Southampton,no,TRUE
1,2,female,36,0,13,Second,woman,FALSE,D,Southampton,yes,TRUE
1,3,female,31,1,20.525,Third,woman,FALSE,,Southampton,yes,FALSE
1,1,female,16,0,57.9792,First,woman,FALSE,B,Cherbourg,yes,FALSE
1,3,female,,2,23.25,Third,woman,FALSE,,Queenstown,yes,FALSE
0,1,male,45.5,0,28.5,First,man,TRUE,C,Southampton,no,TRUE
0,1,male,38,0,153.4625,First,man,TRUE,C,Southampton,no,FALSE
0,3,male,16,2,18,Third,man,TRUE,,Southampton,no,FALSE
1,1,female,,1,133.65,First,woman,FALSE,,Southampton,yes,FALSE
0,3,male,,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,29,1,66.6,First,man,TRUE,C,Southampton,no,FALSE
1,1,female,41,0,134.5,First,woman,FALSE,E,Cherbourg,yes,TRUE
1,3,male,45,0,8.05,Third,man,TRUE,,Southampton,yes,TRUE
0,1,male,45,0,35.5,First,man,TRUE,,Southampton,no,TRUE
1,2,male,2,1,26,Second,child,FALSE,F,Southampton,yes,FALSE
1,1,female,24,3,263,First,woman,FALSE,C,Southampton,yes,FALSE
0,2,male,28,0,13,Second,man,TRUE,,Southampton,no,TRUE
0,2,male,25,0,13,Second,man,TRUE,,Southampton,no,TRUE
0,2,male,36,0,13,Second,man,TRUE,,Southampton,no,TRUE
1,2,female,24,0,13,Second,woman,FALSE,F,Southampton,yes,TRUE
1,2,female,40,0,13,Second,woman,FALSE,,Southampton,yes,TRUE
1,3,female,,1,16.1,Third,woman,FALSE,,Southampton,yes,FALSE
1,3,male,3,1,15.9,Third,child,FALSE,,Southampton,yes,FALSE
0,3,male,42,0,8.6625,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,23,0,9.225,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,,0,35,First,man,TRUE,C,Southampton,no,TRUE
0,3,male,15,1,7.2292,Third,child,FALSE,,Cherbourg,no,FALSE
0,3,male,25,1,17.8,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,,0,7.225,Third,man,TRUE,,Cherbourg,no,TRUE
0,3,male,28,0,9.5,Third,man,TRUE,,Southampton,no,TRUE
1,1,female,22,0,55,First,woman,FALSE,E,Southampton,yes,FALSE
0,2,female,38,0,13,Second,woman,FALSE,,Southampton,no,TRUE
1,3,female,,0,7.8792,Third,woman,FALSE,,Queenstown,yes,TRUE
1,3,female,,0,7.8792,Third,woman,FALSE,,Queenstown,yes,TRUE
0,3,male,40,1,27.9,Third,man,TRUE,,Southampton,no,FALSE
0,2,male,29,1,27.7208,Second,man,TRUE,,Cherbourg,no,FALSE
0,3,female,45,0,14.4542,Third,woman,FALSE,,Cherbourg,no,FALSE
0,3,male,35,0,7.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,1,15.5,Third,man,TRUE,,Queenstown,no,FALSE
0,3,male,30,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
